freq	dB(S(1,1))
1.00000000000000000E9	-8.00000000000000000E-2
2.00000000000000000E9	-2.00000000000000000E-1
3.00000000000000000E9	-5.00000000000000000E-1
4.00000000000000000E9	-8.00000000000000000E-1
5.00000000000000000E9	-1.00000000000000000E0
6.00000000000000000E9	-1.00000000000000000E0
7.00000000000000000E9	-1.00000000000000000E0
8.00000000000000000E9	-1.00000000000000000E0
9.00000000000000000E9	-2.00000000000000000E0
1.00000000000000000E10	-2.00000000000000000E0


freq	dB(S(1,2))
1.00000000000000000E9	-3.00000000000000000E1
2.00000000000000000E9	-2.00000000000000000E1
3.00000000000000000E9	-2.00000000000000000E1
4.00000000000000000E9	-2.00000000000000000E1
5.00000000000000000E9	-2.00000000000000000E1
6.00000000000000000E9	-2.00000000000000000E1
7.00000000000000000E9	-2.00000000000000000E1
8.00000000000000000E9	-2.00000000000000000E1
9.00000000000000000E9	-2.00000000000000000E1
1.00000000000000000E10	-2.00000000000000000E1


freq	dB(S(2,1))
1.00000000000000000E9	2.000000000000000000E1
2.00000000000000000E9	2.000000000000000000E1
3.00000000000000000E9	2.000000000000000000E1
4.00000000000000000E9	2.000000000000000000E1
5.00000000000000000E9	2.000000000000000000E1
6.00000000000000000E9	1.000000000000000000E1
7.00000000000000000E9	1.000000000000000000E1
8.00000000000000000E9	1.000000000000000000E1
9.00000000000000000E9	1.000000000000000000E1
1.00000000000000000E10	1.000000000000000000E1


freq	dB(S(2,2))
1.00000000000000000E9	-6.00000000000000000E0
2.00000000000000000E9	-6.00000000000000000E0
3.00000000000000000E9	-6.00000000000000000E0
4.00000000000000000E9	-6.00000000000000000E0
5.00000000000000000E9	-6.00000000000000000E0
6.00000000000000000E9	-6.00000000000000000E0
7.00000000000000000E9	-6.00000000000000000E0
8.00000000000000000E9	-6.00000000000000000E0
9.00000000000000000E9	-6.00000000000000000E0
1.00000000000000000E10	-6.00000000000000000E0


