level	number	indep(index, 1)	PAE_contours_p[0, 0, ::]
1.34437967409404640E1	1	0	5.99503489829348890E-1 / 1.29754093948696330E2
1.34437967409404640E1	1	1	5.77117923309417780E-1 / 1.34540451066945940E2
1.34437967409404640E1	1	2	5.59583809449348020E-1 / 1.38412840338616070E2
1.34437967409404640E1	1	3	5.50156704770392580E-1 / 1.40446801402037380E2
1.34437967409404640E1	1	4	5.24624303101849070E-1 / 1.45918776255240680E2
1.34437967409404640E1	1	5	5.20601084163833860E-1 / 1.47116583736872370E2
1.34437967409404640E1	1	6	5.18969541357959140E-1 / 1.47535428986078610E2
1.34437967409404640E1	1	7	4.91290470317274150E-1 / 1.54755133302415080E2
1.34437967409404640E1	1	8	4.81723970646675430E-1 / 1.57323965905255860E2
1.34437967409404640E1	1	9	4.62621316464766520E-1 / 1.63043947545870330E2
1.34437967409404640E1	1	10	4.46424049165576960E-1 / 1.67994703745637030E2
1.34437967409404640E1	1	11	4.35673863948391290E-1 / 1.71983746282914440E2
1.34437967409404640E1	1	12	4.14488760798625220E-1 / 1.80000000000000000E2
1.34437967409404640E1	1	13	4.11418317204776150E-1 / -1.78449313313840000E2
1.34437967409404640E1	1	14	4.00119445981093590E-1 / -1.73744952455144450E2
1.34437967409404640E1	1	15	3.92508853054162630E-1 / -1.67965959399172070E2
1.34437967409404640E1	1	16	3.89318006444206150E-1 / -1.66201246797603690E2
1.34437967409404640E1	1	17	3.79776696162303650E-1 / -1.56632781091054340E2
1.34437967409404640E1	1	18	3.73553724528396190E-1 / -1.50188013370490750E2
1.34437967409404640E1	1	19	3.72494404108198340E-1 / -1.45117300061370580E2
1.34437967409404640E1	1	20	3.69625364541594830E-1 / -1.37282679423629950E2
1.34437967409404640E1	1	21	3.71849859172201840E-1 / -1.33805772263329240E2
1.34437967409404640E1	1	22	3.71730900129026050E-1 / -1.31462432424003170E2
1.34437967409404640E1	1	23	3.79066154120633940E-1 / -1.22418519030508530E2
1.34437967409404640E1	1	24	3.85160083879924020E-1 / -1.14840620858663310E2
1.34437967409404640E1	1	25	3.89544573420030060E-1 / -1.12437548125816030E2
1.34437967409404640E1	1	26	3.93126050862123220E-1 / -1.09124687917661660E2
1.34437967409404640E1	1	27	4.05361607334920390E-1 / -1.02942559414815200E2
1.34437967409404640E1	1	28	4.09396399548908540E-1 / -1.00329537202733050E2
1.34437967409404640E1	1	29	4.23574258596807150E-1 / -9.46861420931265840E1
1.34437967409404640E1	1	30	4.34188739075587020E-1 / -9.00000000000000000E1
1.34437967409404640E1	1	31	4.41751754343667540E-1 / -8.74804368601006030E1
